User,Title text,url,
Farmer,Food Security Technology,https://www.foodsecuritytech.com/,
Farmer,Enviroculture,https://www.enviroculture.org/,
Farmer,Efficient farming techniques shown to reduce nitrate pollution,https://www.prairiefarmer.com/story-lower-nitrate-levels-linked-efficient-corn-production-9-141394,
Engineer,Nitrate Sensor from LSU,https://www.lsu.edu/eng/news/2018/05/nitratesensor.php,
Engineer,NEWT: Nanotech to fight nitrates,http://www.newtcenter.org/#!multi-functional-nanomaterials-/c11ks,
Engineer,Microbes and Grease for clean water,https://www.newswise.com/articles/cleaning-up-dirty-water-with-microbes-and-grease-(podcast),
Citizen Scientist,Contribute to GLOBE Data collection,https://www.globe.gov/get-started/globe-observers-citizen-scientists/becoming-a-globe-observer,
Citizen Scientist,ScienceDirect: Collected Papers on Nitrates,https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/nitrate,
Citizen Scientist,Aarhus University study on Nitrates in Drinking Water,https://www.sciencedaily.com/releases/2018/02/180220095019.htm,
Teacher,Contribute to GLOBE Data collection with your class,https://www.globe.gov/get-started/-educators/overview-and-benefits,
Teacher,Water Treatment Degree Programs,https://study.com/water_treatment_degree.html,
Teacher,Information for teachers with links to testing equipment,https://www.carolina.com/teacher-resources/Interactive/nitrate-in-ecosystems-and-drinking-water/tr10810.tr,
Voter/Activist,Arizona,https://www.change.org/p/tshope-azleg-gov-ensure-privately-run-water-utilities-meet-higher-standards,
Voter/Activist,California,https://www.change.org/p/san-francisco-public-utilities-commission-stop-the-plan-to-cut-san-francisco-s-hetch-hetchy-water-with-groundwater,
Voter/Activist,Connecticut,https://www.change.org/p/michael-s-long-stop-ecologically-damaging-fertilizer-from-harming-our-greenwich-community,
Voter/Activist,Florida,https://www.change.org/p/florida-state-senate-restore-the-everglades-and-clean-our-water,
Voter/Activist,Iowa,https://www.change.org/p/iowa-legislature-don-t-dismantle-des-moines-water-works-stop-h-f-484,
Voter/Activist,Michigan,https://www.change.org/p/marsh-swine-farm-stop-a-factory-farm-from-coming-to-montague,
Voter/Activist,New York,https://www.change.org/p/help-stop-overdevelopment-of-the-historic-shinnecock-canal,
